plot,mothID,mothID_format,count,total_basal_all,planttype,num_hostplants,category
4,"Hypomecis umbrosaria (Hübner, [1813])",Hypomecis umbrosaria,1,1.086936244,wood,2,generalist
4,"Tetracis cachexiata Guenée, [1858]",Tetracis cachexiata,1,1.409442556,wood,20,generalist
4,"Orthodes majuscula Herrich-Schäffer, 1868 ",Orthodes majuscula,1,0,wood,2,generalist
4,Abagrotis anchocelioides ,Abagrotis anchocelioides,1,0,wood,2,generalist
4,"Acronicta lithospila (Grote, 1874",Acronicta lithospila,1,0.26224575,wood,4,generalist
4,Acronicta retardata,Acronicta retardata,2,0.056679583,wood,4,generalist
4,"Antaeotricha schlaegeri (Zeller, 1854)",Antaeotricha schlaegeri,3,1.086936244,wood,2,generalist
4,Automeris io,Automeris io,1,13.50080448,wood,34,generalist
4,"Automeris io (Fabricius, 1775)",Automeris io,2,13.50080448,wood,34,generalist
4,"Calledapteryx dryopterata Grote, 1868",Calledapteryx dryopterata,2,0,wood,1,specialist
4,"Cenopis reticulatana (Clemens, 1860)",Cenopis reticulatana,1,1.145464074,wood,14,generalist
4,"Chionodes thoraceochrella (Chambers, 1872)",Chionodes thoraceochrella,1,0.001848247,wood,4,generalist
4,"Choristoneura rosaceana (Harris, 1841)",Choristoneura rosaceana,1,1.407709824,wood,29,generalist
4,"Colocasia flavicornis (Smith, 1884)",Colocasia flavicornis,2,1.405861577,wood,8,generalist
4,"Colocasia propinquilinea (Grote, 1873)",Colocasia propinquilinea,2,1.143615827,wood,10,generalist
